Date,AAPL,GOOG,MSFT,SPY,TSLA
2018-01-02,40.38099670410156,52.935340881347656,79.19831848144531,238.56874084472656,21.368667602539062
2018-01-03,40.37396240234375,53.804176330566406,79.56690979003906,240.07769775390625,21.149999618530273
2018-01-04,40.56149673461914,53.999019622802734,80.2672119140625,241.08956909179688,20.974666595458984
2018-01-05,41.0233039855957,54.78583908081055,81.26239013671875,242.69625854492188,21.10533332824707
2018-01-08,40.87092971801758,55.01994705200195,81.34528350830078,243.14004516601562,22.42733383178711
2018-01-09,40.866241455078125,54.986148834228516,81.29000854492188,243.69041442871094,22.246000289916992
2018-01-10,40.85685729980469,54.80473709106445,80.92143249511719,243.31759643554688,22.31999969482422
2018-01-11,41.08894729614258,54.949371337890625,81.16100311279297,245.0928192138672,22.530000686645508
2018-01-12,41.513240814208984,55.78142547607422,82.5616226196289,246.69061279296875,22.4146671295166
2018-01-16,41.30226516723633,55.75657653808594,81.40980529785156,245.8473663330078,22.67066764831543
2018-01-17,41.98442077636719,56.26455307006836,83.05918884277344,248.19064331054688,23.143999099731445
2018-01-18,42.02192306518555,56.155704498291016,83.02234649658203,247.77346801757812,22.971332550048828
2018-01-19,41.83439636230469,56.539424896240234,82.9301986694336,248.90072631835938,23.334667205810547
2018-01-22,41.49214172363281,57.449012756347656,84.41374206542969,250.924560546875,23.437332153320312
2018-01-23,41.50150680541992,58.15283203125,84.6809310913086,251.45721435546875,23.519332885742188
2018-01-24,40.840457916259766,57.86802291870117,84.60721588134766,251.3594970703125,23.05933380126953
2018-01-25,40.11141586303711,58.17271423339844,85.07716369628906,251.466064453125,22.50933265686035
2018-01-26,40.20518493652344,58.44459915161133,86.6712646484375,254.37744140625,22.856666564941406
2018-01-29,39.37299728393555,58.431671142578125,86.5422592163086,252.69093322753906,23.302000045776367
2018-01-30,39.140926361083984,57.840694427490234,85.45496368408203,250.0990447998047,23.05466651916504
2018-01-31,39.248748779296875,58.15134048461914,87.546630859375,250.22328186035156,23.62066650390625
2018-02-01,39.3307991027832,58.040000915527344,86.85556030273438,249.9392852783203,23.28333282470703
2018-02-02,37.62422561645508,55.26648712158203,84.57037353515625,244.49815368652344,22.916667938232422
2018-02-05,36.684207916259766,52.47806167602539,81.0873031616211,234.2726287841797,22.208667755126953
2018-02-06,38.21731185913086,53.710731506347656,84.15571594238281,238.88827514648438,22.264667510986328
2018-02-07,37.39917755126953,52.119197845458984,82.57081604003906,237.59234619140625,23.0
2018-02-08,36.37007522583008,49.78010177612305,78.3321762084961,228.6805419921875,21.01533317565918
2018-02-09,36.814945220947266,51.5823860168457,81.25315856933594,232.11566162109375,20.69466781616211
2018-02-12,38.29779815673828,52.28620147705078,82.1285400390625,235.5241241455078,21.048667907714844
2018-02-13,38.68146896362305,52.294151306152344,82.7735366821289,236.11000061035156,21.577333450317383
2018-02-14,39.394657135009766,53.16896057128906,84.06962585449219,239.2966766357422,21.487333297729492
2018-02-15,40.717464447021484,54.15410232543945,85.78231048583984,242.35006713867188,22.271333694458008
2018-02-16,40.58563995361328,54.416542053222656,85.17129516601562,242.42103576660156,22.365999221801758
2018-02-20,40.44913101196289,54.797279357910156,85.8378677368164,240.90316772460938,22.31800079345703
2018-02-21,40.265533447265625,55.23865509033203,84.69914245605469,239.70494079589844,22.219999313354492
2018-02-22,40.60211181640625,55.004547119140625,84.92133331298828,240.01564025878906,23.077999114990234
2018-02-23,41.30825424194336,56.006587982177734,87.07837677001953,243.8412628173828,23.469999313354492
2018-02-26,42.1249885559082,56.84958267211914,88.33744049072266,246.6728515625,23.827999114990234
2018-02-27,41.98847961425781,55.58409881591797,87.2080078125,243.59275817871094,23.39933204650879
2018-02-28,41.924930572509766,54.91010284423828,86.80992889404297,241.12510681152344,22.87066650390625
2018-03-01,41.19055938720703,53.160011291503906,85.95819854736328,237.6189422607422,22.062000274658203
2018-03-02,41.475364685058594,53.62723159790039,86.14337921142578,238.84390258789062,22.341333389282227
2018-03-05,41.61894226074219,54.224185943603516,86.68956756591797,241.6044464111328,22.22333335876465
2018-03-06,41.58363723754883,54.42945861816406,86.39332580566406,242.21690368652344,21.8799991607666
2018-03-07,41.19762420654297,55.154151916503906,86.89322662353516,242.12808227539062,22.15333366394043
2018-03-08,41.64718246459961,55.96731948852539,87.42093658447266,243.29989624023438,21.940000534057617
2018-03-09,42.36273193359375,57.65926742553711,89.37432861328125,247.53387451171875,21.81133270263672
2018-03-12,42.77228546142578,57.88094711303711,89.58723449707031,247.2231903076172,23.034000396728516
2018-03-13,42.36037063598633,56.57222366333008,87.40242767333984,245.62538146972656,22.78933334350586
2018-03-14,42.0002555847168,57.13488006591797,86.88397979736328,244.36495971679688,21.775333404541016
2018-03-15,42.04967498779297,57.13935470581055,87.18949890136719,244.09864807128906,21.706666946411133
2018-03-16,41.901390075683594,56.4509391784668,87.57831573486328,244.36338806152344,21.42333221435547
2018-03-19,41.26118469238281,54.66605758666992,85.9952392578125,241.05702209472656,20.90399932861328
2018-03-20,41.24705123901367,54.56118392944336,86.2174301147461,241.46701049804688,20.703332901000977
2018-03-21,40.31260681152344,54.22169876098633,85.61566162109375,241.00360107421875,21.101999282836914
2018-03-22,39.74301528930664,52.144046783447266,83.12533569335938,234.97915649414062,20.606666564941406
2018-03-23,38.82268524169922,50.77667236328125,80.70905303955078,229.97067260742188,20.1026668548584
2018-03-26,40.66567611694336,52.34933090209961,86.81918334960938,236.26248168945312,20.278667449951172
2018-03-27,39.62296676635742,49.95804214477539,82.82909393310547,232.24322509765625,18.61199951171875
